geometry_msgs.msg.Point(x=-2.3513294652808234, y=0.5818442299437336, z=0.0)
geometry_msgs.msg.Point(x=-2.3762459237819904, y=0.5838858559507187, z=0.0)
geometry_msgs.msg.Point(x=-2.4010849439275113, y=0.5867209390007773, z=0.0)
geometry_msgs.msg.Point(x=-2.4257744279379914, y=0.5906485513639907, z=0.0)
geometry_msgs.msg.Point(x=-2.450174376421696, y=0.5960936503220822, z=0.0)
geometry_msgs.msg.Point(x=-2.471823546666169, y=0.6085959393267402, z=0.0)
geometry_msgs.msg.Point(x=-2.495197723039862, y=0.6174635847225503, z=0.0)
geometry_msgs.msg.Point(x=-2.5197613220387005, y=0.6221152266375682, z=0.0)
geometry_msgs.msg.Point(x=-2.5444504245794484, y=0.6260466536981042, z=0.0)
geometry_msgs.msg.Point(x=-2.5691650855922568, y=0.6298132858343095, z=0.0)
geometry_msgs.msg.Point(x=-2.5938652507552398, y=0.6336737595246476, z=0.0)
geometry_msgs.msg.Point(x=-2.6185184951411564, y=0.6378218613930997, z=0.0)
geometry_msgs.msg.Point(x=-2.6430218219223, y=0.6427809679123087, z=0.0)
geometry_msgs.msg.Point(x=-2.667196703263979, y=0.6491507495013664, z=0.0)
geometry_msgs.msg.Point(x=-2.6890163904787663, y=0.6613532032964784, z=0.0)
geometry_msgs.msg.Point(x=-2.712377978351295, y=0.6702544180287262, z=0.0)
geometry_msgs.msg.Point(x=-2.7360123170823805, y=0.6784049003279122, z=0.0)
geometry_msgs.msg.Point(x=-2.7590527074403575, y=0.6881072014978784, z=0.0)
geometry_msgs.msg.Point(x=-2.7775925178972862, y=0.7048781368063786, z=0.0)
geometry_msgs.msg.Point(x=-2.7977726482028764, y=0.7196349119286154, z=0.0)
geometry_msgs.msg.Point(x=-2.818755390825114, y=0.7332266784885704, z=0.0)
geometry_msgs.msg.Point(x=-2.8379421739479334, y=0.7492537478191892, z=0.0)
geometry_msgs.msg.Point(x=-2.8558086903274464, y=0.7667403203453844, z=0.0)
geometry_msgs.msg.Point(x=-2.8757645164304755, y=0.7817992194955607, z=0.0)
geometry_msgs.msg.Point(x=-2.8932541407145287, y=0.7996626841172159, z=0.0)
geometry_msgs.msg.Point(x=-2.9120880643350198, y=0.8161032666375903, z=0.0)
geometry_msgs.msg.Point(x=-2.9313297790992827, y=0.8320639602347981, z=0.0)
geometry_msgs.msg.Point(x=-2.946917013828621, y=0.8516097063756618, z=0.0)
geometry_msgs.msg.Point(x=-2.9662804174374706, y=0.8674231526562224, z=0.0)
geometry_msgs.msg.Point(x=-2.9845871498879966, y=0.8844489097458634, z=0.0)
geometry_msgs.msg.Point(x=-2.988182502114423, y=0.9091887477610001, z=0.0)
