geometry_msgs.msg.Point(x=-3.3139690975451934, y=-2.321573019131101, z=0.0)
geometry_msgs.msg.Point(x=-3.331898174960795, y=-2.338995504742279, z=0.0)
geometry_msgs.msg.Point(x=-3.3498192415120194, y=-2.356426382687566, z=0.0)
geometry_msgs.msg.Point(x=-3.3677380192448503, y=-2.3738595494512467, z=0.0)
geometry_msgs.msg.Point(x=-3.385647260234375, y=-2.3913026344279658, z=0.0)
geometry_msgs.msg.Point(x=-3.403551923587113, y=-2.408750297041472, z=0.0)
geometry_msgs.msg.Point(x=-3.4214565869398506, y=-2.426197959654978, z=0.0)
geometry_msgs.msg.Point(x=-3.4393505691400854, y=-2.4436570663604513, z=0.0)
geometry_msgs.msg.Point(x=-3.457242262521927, y=-2.4611176989448538, z=0.0)
geometry_msgs.msg.Point(x=-3.4751331929643037, y=-2.478579857408185, z=0.0)
geometry_msgs.msg.Point(x=-3.493015349602839, y=-2.496050408205626, z=0.0)
geometry_msgs.msg.Point(x=-3.5108963618321773, y=-2.513522484881996, z=0.0)
geometry_msgs.msg.Point(x=-3.52877470377339, y=-2.5309976133162237, z=0.0)
geometry_msgs.msg.Point(x=-3.546646942198887, y=-2.548478082326703, z=0.0)
geometry_msgs.msg.Point(x=-3.564519943563848, y=-2.5659585513371823, z=0.0)
geometry_msgs.msg.Point(x=-3.582387604352558, y=-2.5834435979844486, z=0.0)
geometry_msgs.msg.Point(x=-3.6002529763228743, y=-2.600931696389573, z=0.0)
geometry_msgs.msg.Point(x=-3.618118729762923, y=-2.618419794794697, z=0.0)
geometry_msgs.msg.Point(x=-3.6359783796872556, y=-2.6359132337760727, z=0.0)
geometry_msgs.msg.Point(x=-3.653837648141856, y=-2.653407435696913, z=0.0)
geometry_msgs.msg.Point(x=-3.671697679535921, y=-2.6709008746782885, z=0.0)
geometry_msgs.msg.Point(x=-3.6895512259445375, y=-2.6884011801148446, z=0.0)
geometry_msgs.msg.Point(x=-3.7074053445577526, y=-2.7059007226119363, z=0.0)
geometry_msgs.msg.Point(x=-3.7252598446407, y=-2.7233995021695634, z=0.0)
geometry_msgs.msg.Point(x=-3.7431084319427974, y=-2.7409043852429065, z=0.0)
geometry_msgs.msg.Point(x=-3.760958545123824, y=-2.7584077424373206, z=0.0)
geometry_msgs.msg.Point(x=-3.7788071324259214, y=-2.7759126255106636, z=0.0)
geometry_msgs.msg.Point(x=-3.7966520957655625, y=-2.7934220862207937, z=0.0)
geometry_msgs.msg.Point(x=-3.814499157188731, y=-2.8109284951730658, z=0.0)
geometry_msgs.msg.Point(x=-3.8323429761191754, y=-2.8284387188226603, z=0.0)
geometry_msgs.msg.Point(x=-3.850185269170691, y=-2.8459497054117193, z=0.0)
geometry_msgs.msg.Point(x=-3.8680296603057336, y=-2.8634591661218494, z=0.0)
geometry_msgs.msg.Point(x=-3.8858698552737216, y=-2.880972441529302, z=0.0)
geometry_msgs.msg.Point(x=-3.903710240976576, y=-2.898486479876219, z=0.0)
geometry_msgs.msg.Point(x=-3.9215527247629574, y=-2.915997466465278, z=0.0)
geometry_msgs.msg.Point(x=-3.9393902494428197, y=-2.9335137936305884, z=0.0)
geometry_msgs.msg.Point(x=-3.957229300001611, y=-2.95102859491697, z=0.0)
geometry_msgs.msg.Point(x=-3.975069304234733, y=-2.968542633263887, z=0.0)
geometry_msgs.msg.Point(x=-3.992904921565934, y=-2.9860604863081264, z=0.0)
geometry_msgs.msg.Point(x=-4.010742827715529, y=-3.003576813473437, z=0.0)
geometry_msgs.msg.Point(x=-4.028580161660525, y=-3.0210931406387473, z=0.0)
geometry_msgs.msg.Point(x=-4.046414443847663, y=-3.0386132825013803, z=0.0)
geometry_msgs.msg.Point(x=-4.064251587057793, y=-3.056129609666691, z=0.0)
geometry_msgs.msg.Point(x=-4.082086632184396, y=-3.0736489885898592, z=0.0)
geometry_msgs.msg.Point(x=-4.09992015143207, y=-3.091169130452492, z=0.0)
geometry_msgs.msg.Point(x=-4.117756913172467, y=-3.108686220557267, z=0.0)
geometry_msgs.msg.Point(x=-4.135590241685275, y=-3.1262071253593646, z=0.0)
geometry_msgs.msg.Point(x=-4.153423760932949, y=-3.1437272672219976, z=0.0)
geometry_msgs.msg.Point(x=-4.171259950468748, y=-3.161245120266237, z=0.0)
geometry_msgs.msg.Point(x=-4.189092516042091, y=-3.178766788007799, z=0.0)
geometry_msgs.msg.Point(x=-4.206926226024631, y=-3.196286929870432, z=0.0)
geometry_msgs.msg.Point(x=-4.224762034090698, y=-3.2138047829146714, z=0.0)
geometry_msgs.msg.Point(x=-4.242593836724577, y=-3.231327213595698, z=0.0)
geometry_msgs.msg.Point(x=-4.260428309646581, y=-3.2488465925188663, z=0.0)
geometry_msgs.msg.Point(x=-4.278262782568586, y=-3.2663659714420348, z=0.0)
geometry_msgs.msg.Point(x=-4.2960947759373305, y=-3.2838876391835967, z=0.0)
geometry_msgs.msg.Point(x=-4.313929821063933, y=-3.301407018106765, z=0.0)
geometry_msgs.msg.Point(x=-4.331763340311607, y=-3.318927159969398, z=0.0)
geometry_msgs.msg.Point(x=-4.349595715150084, y=-3.33644882771096, z=0.0)
geometry_msgs.msg.Point(x=-4.367431332481285, y=-3.353967443694664, z=0.0)
geometry_msgs.msg.Point(x=-4.385264660994093, y=-3.371487585557297, z=0.0)
geometry_msgs.msg.Point(x=-4.403097608037168, y=-3.3890084903593944, z=0.0)
geometry_msgs.msg.Point(x=-4.420933988307834, y=-3.406526343403634, z=0.0)
geometry_msgs.msg.Point(x=-4.438767126085775, y=-3.4240472482057314, z=0.0)
geometry_msgs.msg.Point(x=-4.456601026803181, y=-3.4415673900683643, z=0.0)
geometry_msgs.msg.Point(x=-4.474438170013311, y=-3.459083717233675, z=0.0)
geometry_msgs.msg.Point(x=-4.492271498526119, y=-3.4766046220357723, z=0.0)
geometry_msgs.msg.Point(x=-4.510106925122454, y=-3.494123238019476, z=0.0)
geometry_msgs.msg.Point(x=-4.527943496127985, y=-3.511640328124251, z=0.0)
geometry_msgs.msg.Point(x=-4.545777778315124, y=-3.5291597070474197, z=0.0)
geometry_msgs.msg.Point(x=-4.563614730790388, y=-3.5466767971521946, z=0.0)
geometry_msgs.msg.Point(x=-4.581451492530785, y=-3.5641938872569696, z=0.0)
geometry_msgs.msg.Point(x=-4.599286728392254, y=-3.5817125032406736, z=0.0)
geometry_msgs.msg.Point(x=-4.6171255882161795, y=-3.5992280674665196, z=0.0)
geometry_msgs.msg.Point(x=-4.6349627314263095, y=-3.61674439463183, z=0.0)
geometry_msgs.msg.Point(x=-4.652799111696975, y=-3.6342622476760695, z=0.0)
geometry_msgs.msg.Point(x=-4.670639688134695, y=-3.651775523083522, z=0.0)
geometry_msgs.msg.Point(x=-4.688477212814558, y=-3.6692918502488325, z=0.0)
geometry_msgs.msg.Point(x=-4.7063153096990185, y=-3.6868074144746785, z=0.0)
geometry_msgs.msg.Point(x=-4.724157221280802, y=-3.704319164003202, z=0.0)
geometry_msgs.msg.Point(x=-4.741995699634995, y=-3.721834728229048, z=0.0)
geometry_msgs.msg.Point(x=-4.7598357038681165, y=-3.739348766575965, z=0.0)
geometry_msgs.msg.Point(x=-4.777677806184766, y=-3.7568605161044886, z=0.0)
geometry_msgs.msg.Point(x=-4.795517619683022, y=-3.774373791511941, z=0.0)
geometry_msgs.msg.Point(x=-4.813359721999671, y=-3.7918855410404646, z=0.0)
geometry_msgs.msg.Point(x=-4.831202587255785, y=-3.8093965276295236, z=0.0)
geometry_msgs.msg.Point(x=-4.849044117367836, y=-3.8269090400975116, z=0.0)
geometry_msgs.msg.Point(x=-4.866888508502878, y=-3.8444185008076417, z=0.0)
geometry_msgs.msg.Point(x=-4.884732327433323, y=-3.8619287244572362, z=0.0)
geometry_msgs.msg.Point(x=-4.902575574159169, y=-3.8794389481068308, z=0.0)
geometry_msgs.msg.Point(x=-4.920422635582337, y=-3.896945357059103, z=0.0)
geometry_msgs.msg.Point(x=-4.9382677896568445, y=-3.9144540548297684, z=0.0)
geometry_msgs.msg.Point(x=-4.956113325201084, y=-3.931962752600434, z=0.0)
geometry_msgs.msg.Point(x=-4.973963247647244, y=-3.949466109794848, z=0.0)
geometry_msgs.msg.Point(x=-5.0, y=-4.0, z=0.0)
